trialcode,stimulusitem1,valence
attributeB,Nasty,negative
attributeB,Awful,negative
attributeA,Wonderful,positive
attributeA,Fantastic,positive
attributeA,Pleasant,positive
attributeB,Sick,negative
attributeB,Horrible,negative
attributeB,Terrible,negative
attributeB,Sad,negative
attributeB,Unpleasant,negative
attributeA,Great,positive
attributeB,Disgusting,negative
attributeA,Happy,positive
attributeA,Amazing,positive
attributeB,Awful,negative
attributeA,Good,positive
attributeA,Nice,positive
attributeA,Nice,positive
attributeB,Disgusting,negative
attributeA,Good,positive
