trialcode,stimulusitem1,valence
attributeA,Great,positive
attributeA,Sad,negative
attributeB,Awful,negative
attributeB,Fantastic,positive
attributeB,Sad,negative
attributeA,Happy,positive
attributeA,Unpleasant,negative
attributeB,Happy,positive
attributeB,Unpleasant,negative
attributeA,Happy,positive
attributeA,Sad,negative
attributeB,Great,positive
attributeB,Terrible,negative
attributeA,Sad,negative
attributeB,Great,positive
attributeA,Pleasant,positive
attributeB,Disgusting,negative
attributeA,Happy,positive
attributeA,Awful,negative
attributeB,Good,positive
